d_key,d_value,associations,load,seed,key_regime,value_regime,epsilon,numerical_rank,full_row_rank,minimum_gram_eigenvalue,gram_condition_number,system_condition_number,mean_relative_error,median_relative_error,p90_relative_error,p99_relative_error,maximum_relative_error,relative_frobenius_error,exact_recall_rate,mean_c_q,median_c_q,maximum_c_q,theorem_frobenius_bound,actual_to_theorem_bound,fp64_roundoff_allowance,actual_to_bound_with_fp64_allowance
32,16,24,0.75,2,random_gaussian,gaussian,1e-12,24,True,0.0384243913365831,75.0795164700926,2884884722209.2744,6.42218073792948e-12,6.024501887165136e-12,9.348050474146301e-12,1.223538393550962e-11,1.292464901746816e-11,6.869878464075143e-12,1.0,0.999999999996418,0.9999999999966084,0.9999999999977763,4.96652832363718e-10,0.26397089854525757,3.257778572169749e-10,0.15940783349286086
32,16,24,0.75,2,random_gaussian,one_hot,1e-12,24,True,0.0384243913365831,75.0795164700926,2884884722209.2744,6.251302372142239e-12,5.558351686321443e-12,9.843111817489222e-12,1.378341284049889e-11,1.4264186826468443e-11,6.860629181523707e-12,1.0,0.999999999996418,0.9999999999966084,0.9999999999977763,1.2749660606268702e-10,0.2636155004929093,8.363099617867649e-11,0.1591932142531468
32,16,24,0.75,2,random_gaussian,binary,1e-12,24,True,0.0384243913365831,75.0795164700926,2884884722209.2744,6.035203013778661e-12,5.027220236976939e-12,8.878629645524824e-12,1.3397855175106456e-11,1.3840839188691597e-11,6.584713140597233e-12,1.0,0.999999999996418,0.9999999999966084,0.9999999999977763,1.2749660606268702e-10,0.25301359456003386,8.363099617867649e-11,0.15279089162982537
32,16,24,0.75,2,random_gaussian,gaussian,1e-10,24,True,0.0384243913365831,75.0795164700926,28848847223.08274,6.422584334456654e-10,6.024813786046434e-10,9.347644205284673e-10,1.2236833916774012e-09,1.2925979987618583e-09,6.870355408005631e-10,1.0,0.9999999996417852,0.9999999996608586,0.9999999997776003,4.966528310840977e-08,0.2639892255056539,3.257778563887917e-10,0.2622688810613636
32,16,24,0.75,2,random_gaussian,one_hot,1e-10,24,True,0.0384243913365831,75.0795164700926,28848847223.08274,6.251744175095363e-10,5.558492111271936e-10,9.843764520544635e-10,1.3785543886094185e-09,1.4266455725447967e-09,6.861222861552199e-10,1.0,0.9999999996417852,0.9999999996608586,0.9999999997776003,1.274966057341935e-08,0.2636383129659145,8.363099596607213e-11,0.2619202553211593
32,16,24,0.75,2,random_gaussian,binary,1e-10,24,True,0.0384243913365831,75.0795164700926,28848847223.08274,6.035718317934411e-10,5.027183081290239e-10,8.879658236598054e-10,1.3400084955753269e-09,1.384329042018272e-09,6.585382377343606e-10,1.0,0.9999999996417852,0.9999999996608586,0.9999999997776003,1.274966057341935e-08,0.2530393102266269,8.363099596607213e-11,0.25139032333823547
32,16,24,0.75,2,random_gaussian,gaussian,1e-08,24,True,0.0384243913365831,75.0795164700926,288488473.2208274,6.422587209232386e-08,6.024820014280026e-08,9.34764422672425e-08,1.223684314318615e-07,1.292598912772429e-07,6.870358566395995e-08,1.0,0.9999999641785099,0.9999999660858245,0.9999999777600577,4.966527031221033e-06,0.2639894148814314,3.257777735704904e-10,0.2639720997148393
32,16,24,0.75,2,random_gaussian,one_hot,1e-08,24,True,0.0384243913365831,75.0795164700926,288488473.2208274,6.25174670670077e-08,5.558491967840595e-08,9.843766637068188e-08,1.3785555315307067e-07,1.4266468176612134e-07,6.861225916536008e-08,1.0,0.9999999641785099,0.9999999660858245,0.9999999777600577,1.27496572884849e-06,0.2636384982779448,8.363097470564304e-11,0.26362120612810674
32,16,24,0.75,2,random_gaussian,binary,1e-08,24,True,0.0384243913365831,75.0795164700926,288488473.2208274,6.035721363695898e-08,5.02719050686294e-08,8.879659206888028e-08,1.3400099079288962e-07,1.384330608582164e-07,6.585386098721408e-08,1.0,0.9999999641785099,0.9999999660858245,0.9999999777600577,1.27496572884849e-06,0.2530395184136266,8.363097470564304e-11,0.2530229214549277
32,16,24,0.75,2,random_gaussian,gaussian,1e-06,24,True,0.0384243913365831,75.0795164700926,2884885.7222082745,6.422458847070444e-06,6.024714951310504e-06,9.347441638181756e-06,1.2236539367651287e-05,1.2925664548244337e-05,6.870210055084557e-06,1.0,0.999996417892854,0.9999966086057467,0.9999977760170253,0.0004966399072556466,0.2639905099311522,3.257694919558744e-10,0.2639903367674643
