experiment,fairness,d_key,d_value,associations,seed,key_regime,coefficient_kind,coefficient_sum,coefficient_minimum,coefficient_maximum,method,state_bytes,budget_bytes,budget_fraction,estimated_flops_per_query,selected_temperature,absolute_error,relative_error,convex_hull_distance,error_minus_hull_distance,minimum_softmax_weight,softmax_weight_sum_error
linear_functional,same_dimension,16,16,16,0,correlated,negative_coefficients,0.3999999910593033,-0.6000000238418579,0.800000011920929,linear_attention,2176,4096,0.53125,576,nan,1.1012296393933187,1.0052805016785635,0.6480740955929359,nan,nan,nan
linear_functional,same_dimension,16,16,16,0,correlated,negative_coefficients,0.3999999910593033,-0.6000000238418579,0.800000011920929,least_squares,4096,4096,1.0,1024,nan,1.9278334781793625e-14,1.7598630991847945e-14,0.6480740955929359,nan,nan,nan
linear_functional,equal_state_budget,16,16,16,0,correlated,negative_coefficients,0.3999999910593033,-0.6000000238418579,0.800000011920929,csm,4096,4096,1.0,1024,nan,3.565630817204307e-08,3.254960644443257e-08,0.6480740955929359,nan,nan,nan
linear_functional,equal_state_budget,16,16,16,0,correlated,negative_coefficients,0.3999999910593033,-0.6000000238418579,0.800000011920929,hebbian,2048,4096,0.5,512,nan,1.6818083879082637,1.535273951448544,0.6480740955929359,nan,nan,nan
linear_functional,equal_state_budget,16,16,16,0,correlated,negative_coefficients,0.3999999910593033,-0.6000000238418579,0.800000011920929,softmax,4096,4096,1.0,1104,0.01,0.7626238342315638,0.6961771126054087,0.6480740955929359,0.11454973863862783,1.7775446761610976e-07,0.0
linear_functional,equal_state_budget,16,16,16,0,correlated,negative_coefficients,0.3999999910593033,-0.6000000238418579,0.800000011920929,linear_attention,2176,4096,0.53125,576,nan,1.1012296393933187,1.0052805016785635,0.6480740955929359,nan,nan,nan
linear_functional,equal_state_budget,16,16,16,0,correlated,negative_coefficients,0.3999999910593033,-0.6000000238418579,0.800000011920929,least_squares,4096,4096,1.0,1024,nan,1.9278334781793625e-14,1.7598630991847945e-14,0.6480740955929359,nan,nan,nan
linear_functional,same_dimension,16,16,16,0,correlated,coefficient_gt_one,1.75,0.0,1.5,csm,4096,4096,1.0,1024,nan,1.5170848119966416e-08,9.97628826994345e-09,0.5590169943749475,nan,nan,nan
linear_functional,same_dimension,16,16,16,0,correlated,coefficient_gt_one,1.75,0.0,1.5,hebbian,2048,4096,0.5,512,nan,6.100959498153099,4.011966252349481,0.5590169943749475,nan,nan,nan
linear_functional,same_dimension,16,16,16,0,correlated,coefficient_gt_one,1.75,0.0,1.5,softmax,4096,4096,1.0,1104,1e-08,0.5590169943749475,0.3676073110469039,0.5590169943749475,0.0,0.0,0.0
linear_functional,same_dimension,16,16,16,0,correlated,coefficient_gt_one,1.75,0.0,1.5,linear_attention,2176,4096,0.53125,576,nan,1.4684532453235375,0.9656489057458199,0.5590169943749475,nan,nan,nan
linear_functional,same_dimension,16,16,16,0,correlated,coefficient_gt_one,1.75,0.0,1.5,least_squares,4096,4096,1.0,1024,nan,3.08876282669783e-14,2.031157922942224e-14,0.5590169943749475,nan,nan,nan
linear_functional,equal_state_budget,16,16,16,0,correlated,coefficient_gt_one,1.75,0.0,1.5,csm,4096,4096,1.0,1024,nan,1.5170848119966416e-08,9.97628826994345e-09,0.5590169943749475,nan,nan,nan
linear_functional,equal_state_budget,16,16,16,0,correlated,coefficient_gt_one,1.75,0.0,1.5,hebbian,2048,4096,0.5,512,nan,6.100959498153099,4.011966252349481,0.5590169943749475,nan,nan,nan
linear_functional,equal_state_budget,16,16,16,0,correlated,coefficient_gt_one,1.75,0.0,1.5,softmax,4096,4096,1.0,1104,1e-08,0.5590169943749475,0.3676073110469039,0.5590169943749475,0.0,0.0,0.0
linear_functional,equal_state_budget,16,16,16,0,correlated,coefficient_gt_one,1.75,0.0,1.5,linear_attention,2176,4096,0.53125,576,nan,1.4684532453235375,0.9656489057458199,0.5590169943749475,nan,nan,nan
linear_functional,equal_state_budget,16,16,16,0,correlated,coefficient_gt_one,1.75,0.0,1.5,least_squares,4096,4096,1.0,1024,nan,3.08876282669783e-14,2.031157922942224e-14,0.5590169943749475,nan,nan,nan
linear_functional,same_dimension,16,16,16,0,correlated,positive_sum_two,2.0,0.014705882352941176,0.23529411764705882,csm,4096,4096,1.0,1024,nan,7.262699197935115e-09,1.276853799472242e-08,0.25906294630831,nan,nan,nan
linear_functional,same_dimension,16,16,16,0,correlated,positive_sum_two,2.0,0.014705882352941176,0.23529411764705882,hebbian,2048,4096,0.5,512,nan,6.763116140525212,11.89022194772552,0.25906294630831,nan,nan,nan
linear_functional,same_dimension,16,16,16,0,correlated,positive_sum_two,2.0,0.014705882352941176,0.23529411764705882,softmax,4096,4096,1.0,1104,1.0,0.3706008508613658,0.6515526687991137,0.25906294630831,0.11153790455305579,0.058077463119956874,2.220446049250313e-16
linear_functional,same_dimension,16,16,16,0,correlated,positive_sum_two,2.0,0.014705882352941176,0.23529411764705882,linear_attention,2176,4096,0.53125,576,nan,0.3684771365375387,0.6478189705837956,0.25906294630831,nan,nan,nan
linear_functional,same_dimension,16,16,16,0,correlated,positive_sum_two,2.0,0.014705882352941176,0.23529411764705882,least_squares,4096,4096,1.0,1024,nan,7.457514888250425e-15,1.3111043098674178e-14,0.25906294630831,nan,nan,nan
linear_functional,equal_state_budget,16,16,16,0,correlated,positive_sum_two,2.0,0.014705882352941176,0.23529411764705882,csm,4096,4096,1.0,1024,nan,7.262699197935115e-09,1.276853799472242e-08,0.25906294630831,nan,nan,nan
linear_functional,equal_state_budget,16,16,16,0,correlated,positive_sum_two,2.0,0.014705882352941176,0.23529411764705882,hebbian,2048,4096,0.5,512,nan,6.763116140525212,11.89022194772552,0.25906294630831,nan,nan,nan
linear_functional,equal_state_budget,16,16,16,0,correlated,positive_sum_two,2.0,0.014705882352941176,0.23529411764705882,softmax,4096,4096,1.0,1104,1.0,0.3706008508613658,0.6515526687991137,0.25906294630831,0.11153790455305579,0.058077463119956874,2.220446049250313e-16
linear_functional,equal_state_budget,16,16,16,0,correlated,positive_sum_two,2.0,0.014705882352941176,0.23529411764705882,linear_attention,2176,4096,0.53125,576,nan,0.3684771365375387,0.6478189705837956,0.25906294630831,nan,nan,nan
linear_functional,equal_state_budget,16,16,16,0,correlated,positive_sum_two,2.0,0.014705882352941176,0.23529411764705882,least_squares,4096,4096,1.0,1024,nan,7.457514888250425e-15,1.3111043098674178e-14,0.25906294630831,nan,nan,nan
linear_functional,same_dimension,16,16,16,0,correlated,mixed_nonunit,1.5,-1.5,2.0,csm,4096,4096,1.0,1024,nan,4.197283458847346e-08,1.6007811017881146e-08,1.9685019685029528,nan,nan,nan
linear_functional,same_dimension,16,16,16,0,correlated,mixed_nonunit,1.5,-1.5,2.0,hebbian,2048,4096,0.5,512,nan,5.633832070005561,2.148659245136943,1.9685019685029528,nan,nan,nan
linear_functional,same_dimension,16,16,16,0,correlated,mixed_nonunit,1.5,-1.5,2.0,softmax,4096,4096,1.0,1104,1e-08,1.9685019685029528,0.7507571935295483,1.9685019685029528,0.0,0.0,0.0
linear_functional,same_dimension,16,16,16,0,correlated,mixed_nonunit,1.5,-1.5,2.0,linear_attention,2176,4096,0.53125,576,nan,2.597452463670463,0.990629500581433,1.9685019685029528,nan,nan,nan
linear_functional,same_dimension,16,16,16,0,correlated,mixed_nonunit,1.5,-1.5,2.0,least_squares,4096,4096,1.0,1024,nan,5.989202071008801e-14,2.284192045655646e-14,1.9685019685029528,nan,nan,nan
linear_functional,equal_state_budget,16,16,16,0,correlated,mixed_nonunit,1.5,-1.5,2.0,csm,4096,4096,1.0,1024,nan,4.197283458847346e-08,1.6007811017881146e-08,1.9685019685029528,nan,nan,nan
linear_functional,equal_state_budget,16,16,16,0,correlated,mixed_nonunit,1.5,-1.5,2.0,hebbian,2048,4096,0.5,512,nan,5.633832070005561,2.148659245136943,1.9685019685029528,nan,nan,nan
linear_functional,equal_state_budget,16,16,16,0,correlated,mixed_nonunit,1.5,-1.5,2.0,softmax,4096,4096,1.0,1104,1e-08,1.9685019685029528,0.7507571935295483,1.9685019685029528,0.0,0.0,0.0
linear_functional,equal_state_budget,16,16,16,0,correlated,mixed_nonunit,1.5,-1.5,2.0,linear_attention,2176,4096,0.53125,576,nan,2.597452463670463,0.990629500581433,1.9685019685029528,nan,nan,nan
linear_functional,equal_state_budget,16,16,16,0,correlated,mixed_nonunit,1.5,-1.5,2.0,least_squares,4096,4096,1.0,1024,nan,5.989202071008801e-14,2.284192045655646e-14,1.9685019685029528,nan,nan,nan
linear_functional,same_dimension,16,16,16,1,random_gaussian,positive_simplex,1.0,0.007352941176470588,0.11764705882352941,csm,4096,4096,1.0,1024,nan,2.7755191936480347e-09,9.759270296986043e-09,3.3993498887762956e-17,nan,nan,nan
linear_functional,same_dimension,16,16,16,1,random_gaussian,positive_simplex,1.0,0.007352941176470588,0.11764705882352941,hebbian,2048,4096,0.5,512,nan,0.2270205568398883,0.7982488401605015,3.3993498887762956e-17,nan,nan,nan
