experiment,fairness,d_key,d_value,associations,load,seed,key_regime,epsilon,method,retained_associations,state_bytes,budget_bytes,budget_fraction,estimated_flops_per_query,selected_temperature,relative_frobenius_error,median_relative_error,p90_relative_error,maximum_relative_error,exact_recall_rate
associative_recall,equal_state_budget,16,4,4,0.25,0,correlated,1e-08,softmax,4,640,2560,0.25,180,1e-08,0.0,0.0,0.0,0.0,1.0
associative_recall,equal_state_budget,16,4,4,0.25,0,correlated,1e-08,linear_attention,4,640,2560,0.25,180,nan,0.9658324579043573,0.8985854883650197,1.0368835867600201,1.060159877182053,0.0
associative_recall,equal_state_budget,16,4,4,0.25,0,correlated,1e-08,least_squares,4,640,2560,0.25,160,nan,1.000243697690745e-15,7.573992335716984e-16,1.3354603088783924e-15,1.58243155231109e-15,1.0
associative_recall,same_dimension,16,4,4,0.25,0,correlated,0.0001,csm,4,2560,2560,1.0,640,nan,0.0013594905342689772,0.001304652881554196,0.0014939250016252203,0.0015669389989487843,0.0
associative_recall,same_dimension,16,4,4,0.25,0,correlated,0.0001,hebbian,4,512,2560,0.2,128,nan,1.1399519892784309,1.0348307544052617,1.2598182028686609,1.2947030123971137,0.0
associative_recall,same_dimension,16,4,4,0.25,0,correlated,0.0001,softmax,4,640,2560,0.25,180,1e-08,0.0,0.0,0.0,0.0,1.0
associative_recall,same_dimension,16,4,4,0.25,0,correlated,0.0001,linear_attention,4,640,2560,0.25,180,nan,0.9658324579043573,0.8985854883650197,1.0368835867600201,1.060159877182053,0.0
associative_recall,same_dimension,16,4,4,0.25,0,correlated,0.0001,least_squares,4,640,2560,0.25,160,nan,1.000243697690745e-15,7.573992335716984e-16,1.3354603088783924e-15,1.58243155231109e-15,1.0
associative_recall,equal_state_budget,16,4,4,0.25,0,correlated,0.0001,csm,4,2560,2560,1.0,640,nan,0.0013594905342689772,0.001304652881554196,0.0014939250016252203,0.0015669389989487843,0.0
associative_recall,equal_state_budget,16,4,4,0.25,0,correlated,0.0001,hebbian,4,512,2560,0.2,128,nan,1.1399519892784309,1.0348307544052617,1.2598182028686609,1.2947030123971137,0.0
associative_recall,equal_state_budget,16,4,4,0.25,0,correlated,0.0001,softmax,4,640,2560,0.25,180,1e-08,0.0,0.0,0.0,0.0,1.0
associative_recall,equal_state_budget,16,4,4,0.25,0,correlated,0.0001,linear_attention,4,640,2560,0.25,180,nan,0.9658324579043573,0.8985854883650197,1.0368835867600201,1.060159877182053,0.0
associative_recall,equal_state_budget,16,4,4,0.25,0,correlated,0.0001,least_squares,4,640,2560,0.25,160,nan,1.000243697690745e-15,7.573992335716984e-16,1.3354603088783924e-15,1.58243155231109e-15,1.0
associative_recall,same_dimension,16,4,4,0.25,0,correlated,0.01,csm,4,2560,2560,1.0,640,nan,0.11815637219700982,0.11357456272707023,0.12920227595972475,0.13509604407725967,0.0
associative_recall,same_dimension,16,4,4,0.25,0,correlated,0.01,hebbian,4,512,2560,0.2,128,nan,1.1399519892784309,1.0348307544052617,1.2598182028686609,1.2947030123971137,0.0
associative_recall,same_dimension,16,4,4,0.25,0,correlated,0.01,softmax,4,640,2560,0.25,180,1e-08,0.0,0.0,0.0,0.0,1.0
associative_recall,same_dimension,16,4,4,0.25,0,correlated,0.01,linear_attention,4,640,2560,0.25,180,nan,0.9658324579043573,0.8985854883650197,1.0368835867600201,1.060159877182053,0.0
associative_recall,same_dimension,16,4,4,0.25,0,correlated,0.01,least_squares,4,640,2560,0.25,160,nan,1.000243697690745e-15,7.573992335716984e-16,1.3354603088783924e-15,1.58243155231109e-15,1.0
associative_recall,equal_state_budget,16,4,4,0.25,0,correlated,0.01,csm,4,2560,2560,1.0,640,nan,0.11815637219700982,0.11357456272707023,0.12920227595972475,0.13509604407725967,0.0
associative_recall,equal_state_budget,16,4,4,0.25,0,correlated,0.01,hebbian,4,512,2560,0.2,128,nan,1.1399519892784309,1.0348307544052617,1.2598182028686609,1.2947030123971137,0.0
associative_recall,equal_state_budget,16,4,4,0.25,0,correlated,0.01,softmax,4,640,2560,0.25,180,1e-08,0.0,0.0,0.0,0.0,1.0
associative_recall,equal_state_budget,16,4,4,0.25,0,correlated,0.01,linear_attention,4,640,2560,0.25,180,nan,0.9658324579043573,0.8985854883650197,1.0368835867600201,1.060159877182053,0.0
associative_recall,equal_state_budget,16,4,4,0.25,0,correlated,0.01,least_squares,4,640,2560,0.25,160,nan,1.000243697690745e-15,7.573992335716984e-16,1.3354603088783924e-15,1.58243155231109e-15,1.0
associative_recall,same_dimension,16,4,4,0.25,0,near_collinear,1e-08,csm,4,2560,2560,1.0,640,nan,0.0004893307756668699,0.0005115087222070998,0.00059850544034073,0.0006246665688827965,1.0
associative_recall,same_dimension,16,4,4,0.25,0,near_collinear,1e-08,hebbian,4,512,2560,0.2,128,nan,1.4233644899555897,1.23402449168304,1.810181676148074,1.8480426309093074,0.0
associative_recall,same_dimension,16,4,4,0.25,0,near_collinear,1e-08,softmax,4,640,2560,0.25,180,1e-08,0.0,0.0,0.0,0.0,1.0
associative_recall,same_dimension,16,4,4,0.25,0,near_collinear,1e-08,linear_attention,4,640,2560,0.25,180,nan,0.9336716453861665,0.8963791757272026,1.026924721312454,1.0825024472105638,0.0
associative_recall,same_dimension,16,4,4,0.25,0,near_collinear,1e-08,least_squares,4,640,2560,0.25,160,nan,4.541367867691226e-12,3.1989025515287173e-12,7.623236895399203e-12,9.151615021620515e-12,1.0
associative_recall,equal_state_budget,16,4,4,0.25,0,near_collinear,1e-08,csm,4,2560,2560,1.0,640,nan,0.0004893307756668699,0.0005115087222070998,0.00059850544034073,0.0006246665688827965,1.0
associative_recall,equal_state_budget,16,4,4,0.25,0,near_collinear,1e-08,hebbian,4,512,2560,0.2,128,nan,1.4233644899555897,1.23402449168304,1.810181676148074,1.8480426309093074,0.0
associative_recall,equal_state_budget,16,4,4,0.25,0,near_collinear,1e-08,softmax,4,640,2560,0.25,180,1e-08,0.0,0.0,0.0,0.0,1.0
associative_recall,equal_state_budget,16,4,4,0.25,0,near_collinear,1e-08,linear_attention,4,640,2560,0.25,180,nan,0.9336716453861665,0.8963791757272026,1.026924721312454,1.0825024472105638,0.0
associative_recall,equal_state_budget,16,4,4,0.25,0,near_collinear,1e-08,least_squares,4,640,2560,0.25,160,nan,4.541367867691226e-12,3.1989025515287173e-12,7.623236895399203e-12,9.151615021620515e-12,1.0
associative_recall,same_dimension,16,4,4,0.25,0,near_collinear,0.0001,csm,4,2560,2560,1.0,640,nan,0.7593230746868006,0.7368486792866108,0.8545549446240381,0.9042229765890257,0.0
associative_recall,same_dimension,16,4,4,0.25,0,near_collinear,0.0001,hebbian,4,512,2560,0.2,128,nan,1.4233644899555897,1.23402449168304,1.810181676148074,1.8480426309093074,0.0
associative_recall,same_dimension,16,4,4,0.25,0,near_collinear,0.0001,softmax,4,640,2560,0.25,180,1e-08,0.0,0.0,0.0,0.0,1.0
associative_recall,same_dimension,16,4,4,0.25,0,near_collinear,0.0001,linear_attention,4,640,2560,0.25,180,nan,0.9336716453861665,0.8963791757272026,1.026924721312454,1.0825024472105638,0.0
associative_recall,same_dimension,16,4,4,0.25,0,near_collinear,0.0001,least_squares,4,640,2560,0.25,160,nan,4.541367867691226e-12,3.1989025515287173e-12,7.623236895399203e-12,9.151615021620515e-12,1.0
associative_recall,equal_state_budget,16,4,4,0.25,0,near_collinear,0.0001,csm,4,2560,2560,1.0,640,nan,0.7593230746868006,0.7368486792866108,0.8545549446240381,0.9042229765890257,0.0
associative_recall,equal_state_budget,16,4,4,0.25,0,near_collinear,0.0001,hebbian,4,512,2560,0.2,128,nan,1.4233644899555897,1.23402449168304,1.810181676148074,1.8480426309093074,0.0
associative_recall,equal_state_budget,16,4,4,0.25,0,near_collinear,0.0001,softmax,4,640,2560,0.25,180,1e-08,0.0,0.0,0.0,0.0,1.0
associative_recall,equal_state_budget,16,4,4,0.25,0,near_collinear,0.0001,linear_attention,4,640,2560,0.25,180,nan,0.9336716453861665,0.8963791757272026,1.026924721312454,1.0825024472105638,0.0
associative_recall,equal_state_budget,16,4,4,0.25,0,near_collinear,0.0001,least_squares,4,640,2560,0.25,160,nan,4.541367867691226e-12,3.1989025515287173e-12,7.623236895399203e-12,9.151615021620515e-12,1.0
associative_recall,same_dimension,16,4,4,0.25,0,near_collinear,0.01,csm,4,2560,2560,1.0,640,nan,0.9314657811663563,0.8943154182836707,1.0246662005743803,1.0800828985412287,0.0
associative_recall,same_dimension,16,4,4,0.25,0,near_collinear,0.01,hebbian,4,512,2560,0.2,128,nan,1.4233644899555897,1.23402449168304,1.810181676148074,1.8480426309093074,0.0
associative_recall,same_dimension,16,4,4,0.25,0,near_collinear,0.01,softmax,4,640,2560,0.25,180,1e-08,0.0,0.0,0.0,0.0,1.0
associative_recall,same_dimension,16,4,4,0.25,0,near_collinear,0.01,linear_attention,4,640,2560,0.25,180,nan,0.9336716453861665,0.8963791757272026,1.026924721312454,1.0825024472105638,0.0
associative_recall,same_dimension,16,4,4,0.25,0,near_collinear,0.01,least_squares,4,640,2560,0.25,160,nan,4.541367867691226e-12,3.1989025515287173e-12,7.623236895399203e-12,9.151615021620515e-12,1.0
associative_recall,equal_state_budget,16,4,4,0.25,0,near_collinear,0.01,csm,4,2560,2560,1.0,640,nan,0.9314657811663563,0.8943154182836707,1.0246662005743803,1.0800828985412287,0.0
associative_recall,equal_state_budget,16,4,4,0.25,0,near_collinear,0.01,hebbian,4,512,2560,0.2,128,nan,1.4233644899555897,1.23402449168304,1.810181676148074,1.8480426309093074,0.0
associative_recall,equal_state_budget,16,4,4,0.25,0,near_collinear,0.01,softmax,4,640,2560,0.25,180,1e-08,0.0,0.0,0.0,0.0,1.0
associative_recall,equal_state_budget,16,4,4,0.25,0,near_collinear,0.01,linear_attention,4,640,2560,0.25,180,nan,0.9336716453861665,0.8963791757272026,1.026924721312454,1.0825024472105638,0.0
associative_recall,equal_state_budget,16,4,4,0.25,0,near_collinear,0.01,least_squares,4,640,2560,0.25,160,nan,4.541367867691226e-12,3.1989025515287173e-12,7.623236895399203e-12,9.151615021620515e-12,1.0
associative_recall,same_dimension,16,4,4,0.25,1,random_gaussian,1e-08,csm,4,2560,2560,1.0,640,nan,1.4946811288618606e-08,1.4562192421454226e-08,1.9529436690803715e-08,2.071846856859009e-08,1.0
associative_recall,same_dimension,16,4,4,0.25,1,random_gaussian,1e-08,hebbian,4,512,2560,0.2,128,nan,0.4821668877190122,0.275743036641952,1.1617934363713713,1.3289989554203472,0.0
associative_recall,same_dimension,16,4,4,0.25,1,random_gaussian,1e-08,softmax,4,640,2560,0.25,180,1e-08,0.0,0.0,0.0,0.0,1.0
associative_recall,same_dimension,16,4,4,0.25,1,random_gaussian,1e-08,linear_attention,4,640,2560,0.25,180,nan,0.9227401542037729,0.9604682081937562,1.50402330062325,1.7167056203234041,0.0
associative_recall,same_dimension,16,4,4,0.25,1,random_gaussian,1e-08,least_squares,4,640,2560,0.25,160,nan,3.4549590625547493e-16,2.638036966681554e-16,9.055619319089404e-16,1.1307508878650372e-15,1.0
associative_recall,equal_state_budget,16,4,4,0.25,1,random_gaussian,1e-08,csm,4,2560,2560,1.0,640,nan,1.4946811288618606e-08,1.4562192421454226e-08,1.9529436690803715e-08,2.071846856859009e-08,1.0
associative_recall,equal_state_budget,16,4,4,0.25,1,random_gaussian,1e-08,hebbian,4,512,2560,0.2,128,nan,0.4821668877190122,0.275743036641952,1.1617934363713713,1.3289989554203472,0.0
associative_recall,equal_state_budget,16,4,4,0.25,1,random_gaussian,1e-08,softmax,4,640,2560,0.25,180,1e-08,0.0,0.0,0.0,0.0,1.0
associative_recall,equal_state_budget,16,4,4,0.25,1,random_gaussian,1e-08,linear_attention,4,640,2560,0.25,180,nan,0.9227401542037729,0.9604682081937562,1.50402330062325,1.7167056203234041,0.0
associative_recall,equal_state_budget,16,4,4,0.25,1,random_gaussian,1e-08,least_squares,4,640,2560,0.25,160,nan,3.4549590625547493e-16,2.638036966681554e-16,9.055619319089404e-16,1.1307508878650372e-15,1.0
associative_recall,same_dimension,16,4,4,0.25,1,random_gaussian,0.0001,csm,4,2560,2560,1.0,640,nan,0.00014943994779832657,0.00014559469018253618,0.00019525367120727064,0.00020714164751007145,1.0
