task,task_type,method,seed,beta,lambda,query_scale,shared_key_query,epsilon,orthogonality_regularizer,training_seconds,trainable_parameters,total_parameters,median_gradient_norm,final_gradient_norm,mse,normalized_mse,success_rate,mean_uncertainty,gram_eigenvalue_spectrum,minimum_gram_eigenvalue,maximum_gram_eigenvalue,mean_pairwise_cosine,mean_absolute_pairwise_cosine,maximum_absolute_pairwise_cosine,effective_rank,minimum_singular_value,system_condition_number,fraction_capacity_used,effective_capacity_fraction
selective_copy,discrete_retrieval,fixed_random_csm,2,1.0,1.0,1.0,True,0.1,0.0,0.37264446900007897,72,1078,0.07923449419524323,0.03637645048235848,0.0662829577922821,0.5302636623382568,0.873046875,0.5149521827697754,0.0060569784;0.029069472;0.036426831;0.093133211;0.14664017;0.25751394;0.31828952;7.1128693,0.006056978367269039,7.1128692626953125,0.8729895353317261,0.8729895353317261,0.9386619329452515,1.6802462339401245,0.07782816886901855,72.12864685058594,0.6666666666666666,0.21003077924251556
selective_copy,discrete_retrieval,learned_hebbian,2,1.0,1.0,1.838354468345642,True,0.1,0.0,0.5638435460004985,1078,1078,0.060379148764461765,0.05934308504156077,0.05646436661481857,0.4517149329185486,0.98828125,nan,0.42553526;0.80029637;0.84787518;1.032549;1.104429;1.16238;1.2461795;1.3807542,0.42553526163101196,1.3807542324066162,0.05219936743378639,0.08716626465320587,0.22491008043289185,7.652159690856934,0.6523310542106628,14.807549476623535,0.6666666666666666,0.9565199613571167
selective_copy,discrete_retrieval,learned_attention,2,1.0,1.0,1.0768558979034424,True,0.1,0.0,0.599614961000043,1078,1078,0.05212552888496935,0.007393419236787152,0.00047088024439290166,0.0037670419551432133,1.0,nan,0.01283473;0.29377711;0.52817541;0.60541111;1.0686411;1.5405337;1.8757968;2.0748293,0.012834729626774788,2.074829339981079,-0.13383790850639343,0.2051214873790741,0.6942958831787109,5.9456634521484375,0.11329128593206406,21.748294830322266,0.6666666666666666,0.7432079315185547
key_value_lookup,discrete_retrieval,learned_csm,0,1.0,1.0,1.3401155471801758,True,0.1,0.0,0.6843636789999437,1078,1078,0.04409282811301496,0.012823873705580273,0.015087075531482697,0.12069661144594022,0.97265625,1.6326282024383545,0.97971398;0.99140334;0.99388474;0.99848461;1.0015501;1.0058299;1.0127972;1.016336,0.9797139763832092,1.0163359642028809,0.00041249723290093243,0.003318362170830369,0.013018607161939144,7.999504089355469,0.9898053407669067,11.163352966308594,0.6666666666666666,0.9999380111694336
key_value_lookup,discrete_retrieval,fixed_random_csm,0,1.0,1.0,1.0,True,0.1,0.0,0.565772853999988,72,1078,0.04308219234754375,0.01977746637658768,0.08272241801023483,0.6617793835270037,0.58984375,0.4643501043319702,0.0034550829;0.0093010617;0.035421494;0.050126348;0.14891204;0.18115337;0.33637542;7.2352552,0.0034550828859210014,7.235255241394043,0.8903877139091492,0.8903877139091492,0.9768490195274353,1.5699255466461182,0.05877870321273804,73.35257720947266,0.6666666666666666,0.19624069333076477
key_value_lookup,discrete_retrieval,learned_hebbian,0,1.0,1.0,2.0396947860717773,True,0.1,0.0,0.5435164219998114,1078,1078,0.06076887213346843,0.04724386126762478,0.029318982735276222,0.23455187586259102,0.958984375,nan,0.86292917;0.9248724;0.94118744;0.98151392;1.0125136;1.0463222;1.1034179;1.1272442,0.8629291653633118,1.127244234085083,0.005450827069580555,0.024783965200185776,0.08724649250507355,7.971284866333008,0.9289397597312927,12.272439956665039,0.6666666666666666,0.996410608291626
key_value_lookup,discrete_retrieval,learned_attention,0,1.0,1.0,1.0815515518188477,True,0.1,0.0,1.2380488199996762,1078,1078,0.04088142737382328,0.012289327953671563,0.014817334711551666,0.11853868475786952,0.97265625,nan,0.070669316;0.20118916;0.23446892;0.83716911;1.011225;1.532191;1.842382;2.2707059,0.07066931575536728,2.2707059383392334,-0.10715020447969437,0.22682562470436096,0.7417762279510498,5.741100788116455,0.2658369541168213,23.70707893371582,0.6666666666666666,0.7176375985145569
key_value_lookup,discrete_retrieval,learned_csm,1,1.0,1.0,1.4026066064834595,True,0.1,0.0,1.3839117269999406,1078,1078,0.06277151642361661,0.008680107510195658,0.00014347370597533882,0.0011477897162163089,0.984375,1.7882349491119385,0.93763983;0.96747285;0.96975034;0.99497342;1.0061775;1.0222789;1.0381693;1.0635384,0.9376398324966431,1.0635384321212769,-0.006142891012132168,0.011742109432816505,0.027843201532959938,7.994045734405518,0.9683184623718262,11.635388374328613,0.6666666666666666,0.9992557168006897
key_value_lookup,discrete_retrieval,fixed_random_csm,1,1.0,1.0,1.0,True,0.1,0.0,0.786871789999168,72,1078,0.05800027446900766,0.04442364111591784,0.07188884913921356,0.575110827392985,0.71875,0.556665301322937,0.008532091;0.017367741;0.082865991;0.09084031;0.25422823;0.26539898;0.4777019;6.8030648,0.008532091043889523,6.803064823150635,0.82801753282547,0.82801753282547,0.9734191298484802,1.910751461982727,0.09236962348222733,69.03065490722656,0.6666666666666666,0.23884393274784088
key_value_lookup,discrete_retrieval,learned_hebbian,1,1.0,1.0,2.082578420639038,True,0.1,0.0,1.123970929999814,1078,1078,0.07402094508866705,0.05040211690902145,0.02482464723289013,0.19859718970043597,0.974609375,nan,0.89508325;0.946334;0.96523619;0.98121321;1.0084336;1.0486816;1.0667315;1.088286,0.8950832486152649,1.08828604221344,0.0016969309654086828,0.018209857866168022,0.05409575626254082,7.984885215759277,0.9460884928703308,11.882858276367188,0.6666666666666666,0.9981106519699097
