representation,key_condition,graph_regime,d_key,edges,load,capacity_domain,epsilon,seed,starts,method,hops,adaptive_reads,minimum_layer_depth,success_rate,mean_endpoint_error,p90_endpoint_error,maximum_endpoint_error,accumulated_mean_error,mean_confidence,maximum_one_hop_csm_error,read_operator_norm,theorem_error_bound,bound_relative_excess,system_condition_number,key_gram_condition_number,maximum_code_coherence,selected_softmax_temperature,state_bytes,estimated_total_flops
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,0.0001,0,4,softmax_one,16,1,1,0.5,0.7071067811865476,1.4142135623730951,1.4142135623730951,5.656854249492381,nan,nan,nan,nan,nan,10001.000000003021,1.0000000000000002,2.220446049250313e-16,0.001,1024,276
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,0.01,0,4,csm_chained,1,1,1,1.0,0.009900990099009906,0.00990099009900994,0.009900990099009944,0.009900990099009906,0.9900990099009902,0.009900990099009944,0.9900990099010005,0.009900990099009944,0.0,101.00000000000004,1.0000000000000002,2.220446049250313e-16,nan,4096,1024
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,0.01,0,4,softmax_repeated,1,1,1,1.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,101.00000000000004,1.0000000000000002,2.220446049250313e-16,0.001,1024,276
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,0.01,0,4,softmax_one,1,1,1,1.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,101.00000000000004,1.0000000000000002,2.220446049250313e-16,0.001,1024,276
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,0.01,0,4,csm_chained,2,2,1,1.0,0.019703950593079122,0.019703950593079236,0.019703950593079295,0.029604940692089028,0.9705901479276444,0.009900990099009944,0.9900990099010005,0.019703950593079354,0.0,101.00000000000004,1.0000000000000002,2.220446049250313e-16,nan,4096,2048
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,0.01,0,4,softmax_repeated,2,2,2,1.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,101.00000000000004,1.0000000000000002,2.220446049250313e-16,0.001,1024,552
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,0.01,0,4,softmax_one,2,1,1,0.5,0.7071067811865476,1.4142135623730951,1.4142135623730951,0.7071067811865476,nan,nan,nan,nan,nan,101.00000000000004,1.0000000000000002,2.220446049250313e-16,0.001,1024,276
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,0.01,0,4,csm_chained,4,4,1,1.0,0.03901965551718378,0.03901965551718401,0.03901965551718409,0.09803444828162833,0.9327180547071354,0.009900990099009944,0.9900990099010005,0.039019655517184525,0.0,101.00000000000004,1.0000000000000002,2.220446049250313e-16,nan,4096,4096
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,0.01,0,4,softmax_repeated,4,4,4,1.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,101.00000000000004,1.0000000000000002,2.220446049250313e-16,0.001,1024,1104
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,0.01,0,4,softmax_one,4,1,1,0.5,0.7071067811865476,1.4142135623730951,1.4142135623730951,1.4142135623730951,nan,nan,nan,nan,nan,101.00000000000004,1.0000000000000002,2.220446049250313e-16,0.001,1024,276
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,0.01,0,4,csm_chained,8,8,1,1.0,0.07651677751768768,0.07651677751768786,0.07651677751768791,0.34832224823122515,0.8613494748283792,0.009900990099009944,0.9900990099010005,0.07651677751769091,0.0,101.00000000000004,1.0000000000000002,2.220446049250313e-16,nan,4096,8192
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,0.01,0,4,softmax_repeated,8,8,8,1.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,101.00000000000004,1.0000000000000002,2.220446049250313e-16,0.001,1024,2208
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,0.01,0,4,softmax_one,8,1,1,0.5,0.7071067811865476,1.4142135623730951,1.4142135623730951,2.8284271247461903,nan,nan,nan,nan,nan,101.00000000000004,1.0000000000000002,2.220446049250313e-16,0.001,1024,276
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,0.01,0,4,csm_chained,16,16,1,1.0,0.1471787377936841,0.1471787377936846,0.14717873779368487,1.2821262206315827,0.7345771463238855,0.009900990099009944,0.9900990099010005,0.14717873779369617,0.0,101.00000000000004,1.0000000000000002,2.220446049250313e-16,nan,4096,16384
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,0.01,0,4,softmax_repeated,16,16,16,1.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,101.00000000000004,1.0000000000000002,2.220446049250313e-16,0.001,1024,4416
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,0.01,0,4,softmax_one,16,1,1,0.5,0.7071067811865476,1.4142135623730951,1.4142135623730951,5.656854249492381,nan,nan,nan,nan,nan,101.00000000000004,1.0000000000000002,2.220446049250313e-16,0.001,1024,276
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,0.1,0,4,csm_chained,1,1,1,1.0,0.09090909090909091,0.09090909090909095,0.09090909090909095,0.09090909090909091,0.9090909090909092,0.09090909090909095,0.9090909090909107,0.09090909090909095,0.0,11.000000000000004,1.0000000000000002,2.220446049250313e-16,nan,4096,1024
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,0.1,0,4,softmax_repeated,1,1,1,1.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,11.000000000000004,1.0000000000000002,2.220446049250313e-16,0.001,1024,276
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,0.1,0,4,softmax_one,1,1,1,1.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,11.000000000000004,1.0000000000000002,2.220446049250313e-16,0.001,1024,276
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,0.1,0,4,csm_chained,2,2,1,1.0,0.1735537190082645,0.17355371900826452,0.17355371900826455,0.2644628099173554,0.7513148009015778,0.09090909090909095,0.9090909090909107,0.17355371900826466,0.0,11.000000000000004,1.0000000000000002,2.220446049250313e-16,nan,4096,2048
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,0.1,0,4,softmax_repeated,2,2,2,1.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,11.000000000000004,1.0000000000000002,2.220446049250313e-16,0.001,1024,552
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,0.1,0,4,softmax_one,2,1,1,0.5,0.7071067811865476,1.4142135623730951,1.4142135623730951,0.7071067811865476,nan,nan,nan,nan,nan,11.000000000000004,1.0000000000000002,2.220446049250313e-16,0.001,1024,276
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,0.1,0,4,csm_chained,4,4,1,1.0,0.31698654463492937,0.3169865446349295,0.3169865446349295,0.8301345536507071,0.5131581182307066,0.09090909090909095,0.9090909090909107,0.31698654463493026,0.0,11.000000000000004,1.0000000000000002,2.220446049250313e-16,nan,4096,4096
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,0.1,0,4,softmax_repeated,4,4,4,1.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,11.000000000000004,1.0000000000000002,2.220446049250313e-16,0.001,1024,1104
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,0.1,0,4,softmax_one,4,1,1,0.5,0.7071067811865476,1.4142135623730951,1.4142135623730951,1.4142135623730951,nan,nan,nan,nan,nan,11.000000000000004,1.0000000000000002,2.220446049250313e-16,0.001,1024,276
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,0.1,0,4,csm_chained,8,8,1,1.0,0.5334926197902667,0.5334926197902669,0.5334926197902669,2.665073802097335,0.2393920493691636,0.09090909090909095,0.9090909090909107,0.5334926197902697,0.0,11.000000000000004,1.0000000000000002,2.220446049250313e-16,nan,4096,8192
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,0.1,0,4,softmax_repeated,8,8,8,1.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,11.000000000000004,1.0000000000000002,2.220446049250313e-16,0.001,1024,2208
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,0.1,0,4,softmax_one,8,1,1,0.5,0.7071067811865476,1.4142135623730951,1.4142135623730951,2.8284271247461903,nan,nan,nan,nan,nan,11.000000000000004,1.0000000000000002,2.220446049250313e-16,0.001,1024,276
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,0.1,0,4,csm_chained,16,16,1,1.0,0.7823708642098514,0.7823708642098514,0.7823708642098514,8.176291357901489,0.05209868481924366,0.09090909090909095,0.9090909090909107,0.7823708642098596,0.0,11.000000000000004,1.0000000000000002,2.220446049250313e-16,nan,4096,16384
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,0.1,0,4,softmax_repeated,16,16,16,1.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,11.000000000000004,1.0000000000000002,2.220446049250313e-16,0.001,1024,4416
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,0.1,0,4,softmax_one,16,1,1,0.5,0.7071067811865476,1.4142135623730951,1.4142135623730951,5.656854249492381,nan,nan,nan,nan,nan,11.000000000000004,1.0000000000000002,2.220446049250313e-16,0.001,1024,276
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,1e-08,1,4,csm_chained,1,1,1,1.0,9.999999880568188e-09,1.0000000025446015e-08,1.0000000039912904e-08,9.999999880568188e-09,0.9999999900000001,1.0000000039912904e-08,0.9999999958736567,1.0000000039912904e-08,0.0,100000000.90716171,1.0000000000000009,4.440892098500626e-16,nan,4096,1024
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,1e-08,1,4,softmax_repeated,1,1,1,1.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,100000000.90716171,1.0000000000000009,4.440892098500626e-16,0.001,1024,276
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,1e-08,1,4,softmax_one,1,1,1,1.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,100000000.90716171,1.0000000000000009,4.440892098500626e-16,0.001,1024,276
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,1e-08,1,4,csm_chained,2,2,1,1.0,1.999999971413371e-08,1.9999999843432147e-08,1.9999999847940626e-08,2.99999995947019e-08,0.9999999700000006,1.0000000039912904e-08,0.9999999958736567,2.0000000079825808e-08,0.0,100000000.90716171,1.0000000000000009,4.440892098500626e-16,nan,4096,2048
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,1e-08,1,4,softmax_repeated,2,2,2,1.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,100000000.90716171,1.0000000000000009,4.440892098500626e-16,0.001,1024,552
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,1e-08,1,4,softmax_one,2,1,1,0.25,1.0606601717798214,1.4142135623730954,1.4142135623730954,1.0606601717798214,nan,nan,nan,nan,nan,100000000.90716171,1.0000000000000009,4.440892098500626e-16,0.001,1024,276
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,1e-08,1,4,csm_chained,4,4,1,1.0,3.99999991319943e-08,3.999999916216228e-08,3.999999916307099e-08,9.99999982272758e-08,0.9999999300000025,1.0000000039912904e-08,0.9999999958736567,3.9999999890594254e-08,0.0,100000000.90716171,1.0000000000000009,4.440892098500626e-16,nan,4096,4096
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,1e-08,1,4,softmax_repeated,4,4,4,1.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,100000000.90716171,1.0000000000000009,4.440892098500626e-16,0.001,1024,1104
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,1e-08,1,4,softmax_one,4,1,1,1.0,0.0,0.0,0.0,2.121320343559643,nan,nan,nan,nan,nan,100000000.90716171,1.0000000000000009,4.440892098500626e-16,0.001,1024,276
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,1e-08,1,4,csm_chained,8,8,1,1.0,7.999999659736494e-08,7.999999664374619e-08,7.999999664943832e-08,3.5999998878982445e-07,0.9999998500000116,1.0000000039912904e-08,0.9999999958736567,7.99999992430738e-08,0.0,100000000.90716171,1.0000000000000009,4.440892098500626e-16,nan,4096,8192
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,1e-08,1,4,softmax_repeated,8,8,8,1.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,100000000.90716171,1.0000000000000009,4.440892098500626e-16,0.001,1024,2208
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,1e-08,1,4,softmax_one,8,1,1,0.25,1.0606601717798214,1.4142135623730954,1.4142135623730954,5.303300858899107,nan,nan,nan,nan,nan,100000000.90716171,1.0000000000000009,4.440892098500626e-16,0.001,1024,276
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,1e-08,1,4,csm_chained,16,16,1,1.0,1.59999986750351e-07,1.5999998699052012e-07,1.5999998702457757e-07,1.3599999215471769e-06,0.9999996900000488,1.0000000039912904e-08,0.9999999958736567,1.5999999579557396e-07,0.0,100000000.90716171,1.0000000000000009,4.440892098500626e-16,nan,4096,16384
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,1e-08,1,4,softmax_repeated,16,16,16,1.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,100000000.90716171,1.0000000000000009,4.440892098500626e-16,0.001,1024,4416
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,1e-08,1,4,softmax_one,16,1,1,1.0,0.0,0.0,0.0,10.606601717798213,nan,nan,nan,nan,nan,100000000.90716171,1.0000000000000009,4.440892098500626e-16,0.001,1024,276
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,0.0001,1,4,csm_chained,1,1,1,1.0,9.999000099995035e-05,9.999000099998479e-05,9.999000099999858e-05,9.999000099995035e-05,0.9999000099990001,9.999000099999858e-05,0.9999000100000938,9.999000099999858e-05,0.0,10001.000000003696,1.0000000000000009,4.440892098500626e-16,nan,4096,1024
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,0.0001,1,4,softmax_repeated,1,1,1,1.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,10001.000000003696,1.0000000000000009,4.440892098500626e-16,0.001,1024,276
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,0.0001,1,4,softmax_one,1,1,1,1.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,10001.000000003696,1.0000000000000009,4.440892098500626e-16,0.001,1024,276
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,0.0001,1,4,csm_chained,2,2,1,1.0,0.00019997000399952678,0.00019997000399960227,0.0001999700039996249,0.0002999600049994771,0.9997000599900014,9.999000099999858e-05,0.9999000100000938,0.0001999700039997933,0.0,10001.000000003696,1.0000000000000009,4.440892098500626e-16,nan,4096,2048
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,0.0001,1,4,softmax_repeated,2,2,2,1.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,10001.000000003696,1.0000000000000009,4.440892098500626e-16,0.001,1024,552
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,0.0001,1,4,softmax_one,2,1,1,0.25,1.0606601717798214,1.4142135623730954,1.4142135623730954,1.0606601717798214,nan,nan,nan,nan,nan,10001.000000003696,1.0000000000000009,4.440892098500626e-16,0.001,1024,276
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,0.0001,1,4,csm_chained,4,4,1,1.0,0.00039990001999654496,0.00039990001999661284,0.0003999000199966179,0.0009998000349945356,0.9993002799160209,9.999000099999858e-05,0.9999000100000938,0.0003999000199975725,0.0,10001.000000003696,1.0000000000000009,4.440892098500626e-16,nan,4096,4096
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,0.0001,1,4,softmax_repeated,4,4,4,1.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,10001.000000003696,1.0000000000000009,4.440892098500626e-16,0.001,1024,1104
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,0.0001,1,4,softmax_one,4,1,1,1.0,0.0,0.0,0.0,2.121320343559643,nan,nan,nan,nan,nan,10001.000000003696,1.0000000000000009,4.440892098500626e-16,0.001,1024,276
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,0.0001,1,4,csm_chained,8,8,1,1.0,0.0007996401199669486,0.0007996401199670692,0.0007996401199670772,0.003598800329920751,0.9985011993203061,9.999000099999858e-05,0.9999000100000938,0.000799640119970838,0.0,10001.000000003696,1.0000000000000009,4.440892098500626e-16,nan,4096,8192
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,0.0001,1,4,softmax_repeated,8,8,8,1.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,10001.000000003696,1.0000000000000009,4.440892098500626e-16,0.001,1024,2208
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,0.0001,1,4,softmax_one,8,1,1,0.25,1.0606601717798214,1.4142135623730954,1.4142135623730954,5.303300858899107,nan,nan,nan,nan,nan,10001.000000003696,1.0000000000000009,4.440892098500626e-16,0.001,1024,276
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,0.0001,1,4,csm_chained,16,16,1,1.0,0.0015986408156126687,0.0015986408156129029,0.0015986408156129879,0.013591843874450555,0.9969049545486343,9.999000099999858e-05,0.9999000100000938,0.0015986408156272902,0.0,10001.000000003696,1.0000000000000009,4.440892098500626e-16,nan,4096,16384
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,0.0001,1,4,softmax_repeated,16,16,16,1.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,10001.000000003696,1.0000000000000009,4.440892098500626e-16,0.001,1024,4416
controlled,orthogonal,permutation,16,4,0.25,at_or_below_capacity,0.0001,1,4,softmax_one,16,1,1,1.0,0.0,0.0,0.0,10.606601717798213,nan,nan,nan,nan,nan,10001.000000003696,1.0000000000000009,4.440892098500626e-16,0.001,1024,276
