data_model,pattern,sigmas,seed,method,squared_error,weighted_to_analytic_error,gaussian_expected_weighted_risk,gaussian_expected_uniform_risk
linear_gaussian,1,0.1;0.3;1.0;2.0,13,precision_weighted_csm,0.014284392890630174,1.3974624701289228e-10,0.03559950556242275,1.275
linear_gaussian,1,0.1;0.3;1.0;2.0,13,uniform_csm,1.6696449541660008,nan,0.03559950556242275,1.275
linear_gaussian,1,0.1;0.3;1.0;2.0,13,analytic_precision_mean,0.014284392910477312,nan,0.03559950556242275,1.275
linear_gaussian,1,0.1;0.3;1.0;2.0,14,precision_weighted_csm,0.025509432401166977,1.4864794658355316e-10,0.03559950556242275,1.275
linear_gaussian,1,0.1;0.3;1.0;2.0,14,uniform_csm,1.8819327640163563,nan,0.03559950556242275,1.275
linear_gaussian,1,0.1;0.3;1.0;2.0,14,analytic_precision_mean,0.0255094324165819,nan,0.03559950556242275,1.275
linear_gaussian,1,0.1;0.3;1.0;2.0,15,precision_weighted_csm,0.017635507591129994,1.626713048447924e-10,0.03559950556242275,1.275
linear_gaussian,1,0.1;0.3;1.0;2.0,15,uniform_csm,0.9767972935873146,nan,0.03559950556242275,1.275
linear_gaussian,1,0.1;0.3;1.0;2.0,15,analytic_precision_mean,0.01763550760642062,nan,0.03559950556242275,1.275
linear_gaussian,2,0.2;0.2;1.5;1.5,0,precision_weighted_csm,0.02741776476040768,2.0529409488824026e-10,0.07860262008733626,1.145
linear_gaussian,2,0.2;0.2;1.5;1.5,0,uniform_csm,1.9193657629599647,nan,0.07860262008733626,1.145
linear_gaussian,2,0.2;0.2;1.5;1.5,0,analytic_precision_mean,0.02741776476953057,nan,0.07860262008733626,1.145
linear_gaussian,2,0.2;0.2;1.5;1.5,1,precision_weighted_csm,0.07810362564560731,2.7119587982616877e-10,0.07860262008733626,1.145
linear_gaussian,2,0.2;0.2;1.5;1.5,1,uniform_csm,1.7432957052517628,nan,0.07860262008733626,1.145
linear_gaussian,2,0.2;0.2;1.5;1.5,1,analytic_precision_mean,0.0781036256688376,nan,0.07860262008733626,1.145
linear_gaussian,2,0.2;0.2;1.5;1.5,2,precision_weighted_csm,0.013226162577635885,3.9688282150620064e-10,0.07860262008733626,1.145
linear_gaussian,2,0.2;0.2;1.5;1.5,2,uniform_csm,0.33488457253374376,nan,0.07860262008733626,1.145
linear_gaussian,2,0.2;0.2;1.5;1.5,2,analytic_precision_mean,0.013226162603771857,nan,0.07860262008733626,1.145
linear_gaussian,2,0.2;0.2;1.5;1.5,3,precision_weighted_csm,0.09475415552535474,2.0385513504704398e-10,0.07860262008733626,1.145
linear_gaussian,2,0.2;0.2;1.5;1.5,3,uniform_csm,0.30140428186886936,nan,0.07860262008733626,1.145
linear_gaussian,2,0.2;0.2;1.5;1.5,3,analytic_precision_mean,0.09475415546171374,nan,0.07860262008733626,1.145
linear_gaussian,2,0.2;0.2;1.5;1.5,4,precision_weighted_csm,0.02170832123022993,1.9972121292410016e-10,0.07860262008733626,1.145
linear_gaussian,2,0.2;0.2;1.5;1.5,4,uniform_csm,1.359805883215263,nan,0.07860262008733626,1.145
linear_gaussian,2,0.2;0.2;1.5;1.5,4,analytic_precision_mean,0.021708321271075658,nan,0.07860262008733626,1.145
linear_gaussian,2,0.2;0.2;1.5;1.5,5,precision_weighted_csm,0.024831219746435214,1.375776443818497e-10,0.07860262008733626,1.145
linear_gaussian,2,0.2;0.2;1.5;1.5,5,uniform_csm,1.9622545111539118,nan,0.07860262008733626,1.145
linear_gaussian,2,0.2;0.2;1.5;1.5,5,analytic_precision_mean,0.02483121971201121,nan,0.07860262008733626,1.145
linear_gaussian,2,0.2;0.2;1.5;1.5,6,precision_weighted_csm,0.05951329709135154,4.4861140259897206e-10,0.07860262008733626,1.145
linear_gaussian,2,0.2;0.2;1.5;1.5,6,uniform_csm,0.8630105353011477,nan,0.07860262008733626,1.145
linear_gaussian,2,0.2;0.2;1.5;1.5,6,analytic_precision_mean,0.059513297115156835,nan,0.07860262008733626,1.145
linear_gaussian,2,0.2;0.2;1.5;1.5,7,precision_weighted_csm,0.012525696447929346,3.3522543258716246e-10,0.07860262008733626,1.145
linear_gaussian,2,0.2;0.2;1.5;1.5,7,uniform_csm,0.849017001980003,nan,0.07860262008733626,1.145
linear_gaussian,2,0.2;0.2;1.5;1.5,7,analytic_precision_mean,0.01252569649707324,nan,0.07860262008733626,1.145
linear_gaussian,2,0.2;0.2;1.5;1.5,8,precision_weighted_csm,0.12914705182054412,5.789587176632719e-10,0.07860262008733626,1.145
linear_gaussian,2,0.2;0.2;1.5;1.5,8,uniform_csm,0.2517264493607297,nan,0.07860262008733626,1.145
linear_gaussian,2,0.2;0.2;1.5;1.5,8,analytic_precision_mean,0.1291470520774178,nan,0.07860262008733626,1.145
linear_gaussian,2,0.2;0.2;1.5;1.5,9,precision_weighted_csm,0.17328882928395772,1.8717944603641293e-10,0.07860262008733626,1.145
linear_gaussian,2,0.2;0.2;1.5;1.5,9,uniform_csm,1.6391853424138696,nan,0.07860262008733626,1.145
linear_gaussian,2,0.2;0.2;1.5;1.5,9,analytic_precision_mean,0.17328882939336474,nan,0.07860262008733626,1.145
linear_gaussian,2,0.2;0.2;1.5;1.5,10,precision_weighted_csm,0.004257333824872883,6.391155170446123e-10,0.07860262008733626,1.145
