data_model,sigma,repeats,seed,method,mean_squared_error,p90_squared_error,selected_temperature,csm_oracle_relative_difference,gaussian_unregularized_expected_risk
linear_gaussian,0.1,2,11,csm,0.018105050251734027,0.03473220708045539,nan,2.6092397353670304e-16,0.020000000000000004
linear_gaussian,0.1,2,11,simple_average,0.01810505025466485,0.03473220708861987,nan,nan,0.020000000000000004
linear_gaussian,0.1,2,11,hebbian,0.4431702577852847,0.6351586517139155,nan,nan,0.020000000000000004
linear_gaussian,0.1,2,11,softmax,0.018089129095246667,0.034683928272454465,0.1,nan,0.020000000000000004
linear_gaussian,0.1,2,11,oracle_ridge,0.018105050251734024,0.03473220708045541,nan,nan,0.020000000000000004
linear_gaussian,0.1,2,12,csm,0.013210324100122534,0.021868994535995695,nan,2.7412536951638914e-16,0.020000000000000004
linear_gaussian,0.1,2,12,simple_average,0.013210324100976091,0.021868994541218316,nan,nan,0.020000000000000004
linear_gaussian,0.1,2,12,hebbian,0.4162475808760965,0.7752544942900809,nan,nan,0.020000000000000004
linear_gaussian,0.1,2,12,softmax,0.01320602680103182,0.021837943580383698,0.1,nan,0.020000000000000004
linear_gaussian,0.1,2,12,oracle_ridge,0.013210324100122533,0.0218689945359957,nan,nan,0.020000000000000004
linear_gaussian,0.1,2,13,csm,0.023896971040783744,0.03847110073623405,nan,2.215712561719224e-16,0.020000000000000004
linear_gaussian,0.1,2,13,simple_average,0.02389697104267028,0.038471100742662585,nan,nan,0.020000000000000004
linear_gaussian,0.1,2,13,hebbian,0.2559061359449588,0.4536782981920966,nan,nan,0.020000000000000004
linear_gaussian,0.1,2,13,softmax,0.02388280058961353,0.03842049341875104,0.1,nan,0.020000000000000004
linear_gaussian,0.1,2,13,oracle_ridge,0.02389697104078374,0.03847110073623405,nan,nan,0.020000000000000004
linear_gaussian,0.1,2,14,csm,0.017881565083808223,0.03156393042642314,nan,2.5412184657646825e-16,0.020000000000000004
linear_gaussian,0.1,2,14,simple_average,0.017881565087041223,0.03156393043229181,nan,nan,0.020000000000000004
linear_gaussian,0.1,2,14,hebbian,0.46610359255352113,0.8701004941038627,nan,nan,0.020000000000000004
linear_gaussian,0.1,2,14,softmax,0.017862250215980428,0.03152143665043693,0.1,nan,0.020000000000000004
linear_gaussian,0.1,2,14,oracle_ridge,0.017881565083808226,0.031563930426423165,nan,nan,0.020000000000000004
linear_gaussian,0.1,2,15,csm,0.01664358431733144,0.031007636244740146,nan,3.2029182258037673e-16,0.020000000000000004
linear_gaussian,0.1,2,15,simple_average,0.01664358431826888,0.031007636246502643,nan,nan,0.020000000000000004
linear_gaussian,0.1,2,15,hebbian,0.34334246012919223,0.8116251245856674,nan,nan,0.020000000000000004
linear_gaussian,0.1,2,15,softmax,0.01663775868209515,0.0309997732231555,0.1,nan,0.020000000000000004
linear_gaussian,0.1,2,15,oracle_ridge,0.016643584317331442,0.031007636244740136,nan,nan,0.020000000000000004
linear_gaussian,0.1,4,0,csm,0.015441283274784091,0.026427341952581177,nan,2.3551215026815217e-16,0.010000000000000002
linear_gaussian,0.1,4,0,simple_average,0.01544128327599844,0.026427341954201516,nan,nan,0.010000000000000002
linear_gaussian,0.1,4,0,hebbian,2.131607727536256,3.461619368125333,nan,nan,0.010000000000000002
linear_gaussian,0.1,4,0,softmax,0.015426144173476382,0.026407249567439246,0.1,nan,0.010000000000000002
linear_gaussian,0.1,4,0,oracle_ridge,0.015441283274784095,0.026427341952581198,nan,nan,0.010000000000000002
linear_gaussian,0.1,4,1,csm,0.009961980204239112,0.019795994484466343,nan,2.3362625145771876e-16,0.010000000000000002
linear_gaussian,0.1,4,1,simple_average,0.009961980205216776,0.019795994487490125,nan,nan,0.010000000000000002
linear_gaussian,0.1,4,1,hebbian,2.172260666637765,3.9564231688340956,nan,nan,0.010000000000000002
linear_gaussian,0.1,4,1,softmax,0.00994985739084937,0.01975622766492185,0.1,nan,0.010000000000000002
linear_gaussian,0.1,4,1,oracle_ridge,0.009961980204239104,0.019795994484466308,nan,nan,0.010000000000000002
linear_gaussian,0.1,4,2,csm,0.007003641553274004,0.011429094743681175,nan,2.743901929653244e-16,0.010000000000000002
linear_gaussian,0.1,4,2,simple_average,0.007003641553422544,0.011429094743326857,nan,nan,0.010000000000000002
linear_gaussian,0.1,4,2,hebbian,1.8468604815964702,2.8390767669845816,nan,nan,0.010000000000000002
linear_gaussian,0.1,4,2,softmax,0.007003641553422544,0.011429094743326857,0.001,nan,0.010000000000000002
linear_gaussian,0.1,4,2,oracle_ridge,0.0070036415532740036,0.011429094743681163,nan,nan,0.010000000000000002
linear_gaussian,0.1,4,3,csm,0.012643425598063562,0.02069477571275597,nan,3.2247148738937086e-16,0.010000000000000002
