data_model,trial,query_index,distance_outside_observed_span,uncertainty,predicted_total_mse,actual_squared_error,normalized_squared_error,coordinate_95_coverage
linear_gaussian,1,54,0.5,0.333333333333333,1.333333333333332,0.7141341808427436,0.5356006356320583,1.0
linear_gaussian,1,55,0.5,0.3333333333333333,1.3333333333333333,1.2011257122896475,0.9008442842172356,1.0
linear_gaussian,1,56,0.5,0.33333333333333337,1.3333333333333335,0.45753503452690675,0.34315127589518,1.0
linear_gaussian,1,57,0.5,0.3333333333333332,1.3333333333333328,0.4303168923518483,0.32273766926388636,1.0
linear_gaussian,1,58,0.5,0.3333333333333332,1.3333333333333328,0.8001244248220682,0.6000933186165515,1.0
linear_gaussian,1,59,0.5,0.3333333333333331,1.3333333333333324,0.9964169179230606,0.747312688442296,1.0
linear_gaussian,1,60,0.5,0.3333333333333331,1.3333333333333324,1.0574640805105644,0.7930980603829239,1.0
linear_gaussian,1,61,0.5,0.3333333333333332,1.3333333333333328,0.49733272668095707,0.37299954501071797,1.0
linear_gaussian,1,62,0.5,0.33333333333333326,1.333333333333333,0.20538717954038974,0.15404038465529232,1.0
linear_gaussian,1,63,0.5,0.33333333333333326,1.333333333333333,0.8929789441804317,0.6697342081353239,1.0
linear_gaussian,1,64,0.5,0.3333333333333332,1.3333333333333328,2.5561568786858206,1.9171176590143661,0.75
linear_gaussian,1,65,0.5,0.33333333333333326,1.333333333333333,0.1650076593436287,0.12375574450772156,1.0
linear_gaussian,1,66,0.5,0.3333333333333331,1.3333333333333324,1.7714051600862977,1.3285538700647241,1.0
linear_gaussian,1,67,0.5,0.3333333333333332,1.3333333333333328,0.35436044427389984,0.265770333205425,1.0
linear_gaussian,1,68,0.5,0.3333333333333332,1.3333333333333328,0.4806688307090495,0.36050162303178723,1.0
linear_gaussian,1,69,0.5,0.3333333333333332,1.3333333333333328,0.8623811559711133,0.6467858669783353,1.0
linear_gaussian,1,70,0.5,0.3333333333333334,1.3333333333333337,1.0228998149357813,0.7671748612018358,1.0
linear_gaussian,1,71,0.5,0.3333333333333333,1.3333333333333333,0.7140539318499106,0.535540448887433,1.0
linear_gaussian,1,72,0.75,0.611111111111111,2.444444444444444,3.0429092189339584,1.2448264986548012,1.0
linear_gaussian,1,73,0.75,0.611111111111111,2.444444444444444,0.40903312715206086,0.167331733834934,1.0
linear_gaussian,1,74,0.75,0.611111111111111,2.444444444444444,1.2745945038198778,0.5214250242899501,1.0
linear_gaussian,1,75,0.75,0.6111111111111112,2.4444444444444446,0.5426370508427908,0.22198788443568712,1.0
linear_gaussian,1,76,0.75,0.6111111111111109,2.4444444444444438,1.2328154478969513,0.5043335923214802,1.0
linear_gaussian,1,77,0.75,0.6111111111111113,2.444444444444445,1.220459373489649,0.4992788346094017,1.0
linear_gaussian,1,78,0.75,0.6111111111111106,2.4444444444444424,1.5976690287163215,0.6535918753839502,1.0
linear_gaussian,1,79,0.75,0.6111111111111115,2.444444444444446,3.211625456954084,1.3138467778448517,1.0
linear_gaussian,1,80,0.75,0.611111111111111,2.444444444444444,1.2550562272591141,0.5134320929696377,1.0
linear_gaussian,1,81,0.75,0.6111111111111109,2.4444444444444438,1.4994785468082041,0.6134230418760837,1.0
linear_gaussian,1,82,0.75,0.611111111111111,2.444444444444444,1.6989432255789154,0.69502222864592,1.0
linear_gaussian,1,83,0.75,0.6111111111111113,2.444444444444445,1.5197914367279246,0.6217328604796054,1.0
linear_gaussian,1,84,0.75,0.611111111111111,2.444444444444444,2.8392736591752508,1.1615210423898754,1.0
linear_gaussian,1,85,0.75,0.6111111111111107,2.444444444444443,1.1173593477689638,0.45710155136003094,1.0
linear_gaussian,1,86,0.75,0.6111111111111114,2.4444444444444455,1.5721683858045503,0.6431597941927703,1.0
linear_gaussian,1,87,0.75,0.6111111111111113,2.444444444444445,1.3142966554606732,0.537666813597548,1.0
linear_gaussian,1,88,0.75,0.6111111111111108,2.4444444444444433,0.9811894312275152,0.4013956764112564,1.0
linear_gaussian,1,89,0.75,0.6111111111111112,2.4444444444444446,1.0387409493582884,0.42493947928293613,1.0
linear_gaussian,1,90,0.75,0.6111111111111106,2.4444444444444424,2.1067271724653818,0.8618429341903842,1.0
linear_gaussian,1,91,0.75,0.6111111111111109,2.4444444444444438,1.9538754400409593,0.7993126800167563,1.0
linear_gaussian,1,92,0.75,0.6111111111111106,2.4444444444444424,0.7135985368475601,0.2919266741649112,1.0
linear_gaussian,1,93,0.75,0.6111111111111107,2.444444444444443,2.5200004599710746,1.0309092790790766,1.0
linear_gaussian,1,94,0.75,0.6111111111111108,2.4444444444444433,2.3900792800422646,0.977759705471836,1.0
linear_gaussian,1,95,0.75,0.6111111111111107,2.444444444444443,1.9075563489526368,0.7803639609351701,1.0
linear_gaussian,1,96,1.0,1.0000000000000002,4.000000000000001,0.3956945531242496,0.09892363828106238,1.0
linear_gaussian,1,97,1.0,0.9999999999999993,3.9999999999999973,4.988952921077228,1.247238230269308,0.75
linear_gaussian,1,98,1.0,1.0,4.0,2.2439923935623134,0.5609980983905783,1.0
linear_gaussian,1,99,1.0,0.9999999999999996,3.9999999999999982,4.156349685294462,1.0390874213236159,1.0
